"","price","date"
"2013-11-20",20.3567,2013-11-20
"2013-11-21",20.3131,2013-11-21
"2013-11-22",19.9133,2013-11-22
"2013-11-23",19.9554,2013-11-23
"2013-11-24",19.8619,2013-11-24
"2013-11-25",19.8614,2013-11-25
"2013-11-26",19.8059,2013-11-26
"2013-11-27",20.0852,2013-11-27
"2013-11-28",19.8858,2013-11-28
"2013-11-29",19.7091,2013-11-29
"2013-11-30",19.8718,2013-11-30
"2013-12-01",19.9904,2013-12-01
"2013-12-02",19.9904,2013-12-02
"2013-12-03",19.7014,2013-12-03
"2013-12-04",19.1852,2013-12-04
"2013-12-05",19.2433,2013-12-05
"2013-12-06",19.5514,2013-12-06
"2013-12-07",19.4703,2013-12-07
"2013-12-08",19.5073,2013-12-08
"2013-12-09",19.5082,2013-12-09
"2013-12-10",19.6132,2013-12-10
"2013-12-11",20.0431,2013-12-11
"2013-12-12",20.3432,2013-12-12
"2013-12-13",19.9971,2013-12-13
"2013-12-14",19.5238,2013-12-14
"2013-12-15",19.7072,2013-12-15
"2013-12-16",19.7073,2013-12-16
"2013-12-17",19.7135,2013-12-17
"2013-12-18",19.9607,2013-12-18
"2013-12-19",19.959,2013-12-19
"2013-12-20",19.4489,2013-12-20
"2013-12-21",19.3018,2013-12-21
"2013-12-22",19.4062,2013-12-22
"2013-12-23",19.407,2013-12-23
"2013-12-24",19.425,2013-12-24
"2013-12-25",19.4258,2013-12-25
"2013-12-26",19.5075,2013-12-26
"2013-12-27",19.6291,2013-12-27
"2013-12-28",19.9235,2013-12-28
"2013-12-29",20.0834,2013-12-29
"2013-12-30",20.0844,2013-12-30
"2013-12-31",19.8,2013-12-31
"2014-01-01",19.5012,2014-01-01
"2014-01-02",19.4536,2014-01-02
"2014-01-03",19.9359,2014-01-03
"2014-01-04",20.1275,2014-01-04
"2014-01-05",20.1594,2014-01-05
"2014-01-06",20.1598,2014-01-06
"2014-01-07",20.145,2014-01-07
"2014-01-08",20.0417,2014-01-08
"2014-01-09",19.6255,2014-01-09
"2014-01-10",19.5703,2014-01-10
"2014-01-11",19.8253,2014-01-11
"2014-01-12",20.1567,2014-01-12
"2014-01-13",20.158,2014-01-13
"2014-01-14",20.1964,2014-01-14
"2014-01-15",20.3386,2014-01-15
"2014-01-16",20.1391,2014-01-16
"2014-01-17",20.1243,2014-01-17
"2014-01-18",20.1652,2014-01-18
"2014-01-19",20.3002,2014-01-19
"2014-01-20",20.3011,2014-01-20
"2014-01-21",20.3363,2014-01-21
"2014-01-22",20.084,2014-01-22
"2014-01-23",19.8819,2014-01-23
"2014-01-24",19.9209,2014-01-24
"2014-01-25",20.0239,2014-01-25
"2014-01-26",19.916,2014-01-26
"2014-01-27",19.9167,2014-01-27
"2014-01-28",19.8783,2014-01-28
"2014-01-29",19.6959,2014-01-29
"2014-01-30",19.6334,2014-01-30
"2014-01-31",19.4314,2014-01-31
"2014-02-01",19.2101,2014-02-01
"2014-02-02",19.1786,2014-02-02
"2014-02-03",19.1791,2014-02-03
"2014-02-04",19.2442,2014-02-04
"2014-02-05",19.3965,2014-02-05
"2014-02-06",19.6753,2014-02-06
"2014-02-07",19.9731,2014-02-07
"2014-02-08",19.9153,2014-02-08
"2014-02-09",20.0233,2014-02-09
"2014-02-10",20.023,2014-02-10
"2014-02-11",20.1118,2014-02-11
"2014-02-12",20.1546,2014-02-12
"2014-02-13",20.2197,2014-02-13
"2014-02-14",20.2797,2014-02-14
"2014-02-15",20.9259,2014-02-15
"2014-02-16",21.4776,2014-02-16
"2014-02-17",21.4782,2014-02-17
"2014-02-18",21.7399,2014-02-18
"2014-02-19",21.6949,2014-02-19
"2014-02-20",21.7921,2014-02-20
"2014-02-21",21.6134,2014-02-21
"2014-02-22",21.7421,2014-02-22
"2014-02-23",21.8495,2014-02-23
"2014-02-24",21.8505,2014-02-24
"2014-02-25",21.8814,2014-02-25
"2014-02-26",21.8964,2014-02-26
"2014-02-27",21.722,2014-02-27
"2014-02-28",21.2518,2014-02-28
"2014-03-01",21.2574,2014-03-01
"2014-03-02",21.2234,2014-03-02
"2014-03-03",21.224,2014-03-03
"2014-03-04",21.4708,2014-03-04
"2014-03-05",21.2968,2014-03-05
"2014-03-06",21.2296,2014-03-06
"2014-03-07",21.2672,2014-03-07
"2014-03-08",21.2862,2014-03-08
"2014-03-09",20.9091,2014-03-09
"2014-03-10",20.9087,2014-03-10
"2014-03-11",20.8362,2014-03-11
"2014-03-12",20.9366,2014-03-12
"2014-03-13",21.0726,2014-03-13
"2014-03-14",21.3023,2014-03-14
"2014-03-15",21.338,2014-03-15
"2014-03-16",21.4475,2014-03-16
"2014-03-17",21.4475,2014-03-17
"2014-03-18",21.3704,2014-03-18
"2014-03-19",20.9905,2014-03-19
"2014-03-20",20.7766,2014-03-20
"2014-03-21",20.4886,2014-03-21
"2014-03-22",20.3741,2014-03-22
"2014-03-23",20.3212,2014-03-23
"2014-03-24",20.3212,2014-03-24
"2014-03-25",20.1551,2014-03-25
"2014-03-26",20.028,2014-03-26
"2014-03-27",19.9632,2014-03-27
"2014-03-28",19.7308,2014-03-28
"2014-03-29",19.7939,2014-03-29
"2014-03-30",19.8312,2014-03-30
"2014-03-31",19.8312,2014-03-31
"2014-04-01",19.8402,2014-04-01
"2014-04-02",19.7704,2014-04-02
"2014-04-03",19.895,2014-04-03
"2014-04-04",19.9117,2014-04-04
