Date, Tp, Drawdown,BarDuration
2013-11-20, 0.5, 1.1781, 87
2013-11-21, 0.5, 1.1345, 86
2013-11-22, 0.5, 0.734699, 85
2013-11-23, 0.5, 0.7768, 84
2013-11-24, 0.5, 0.6833, 83
2013-11-25, 0.5, 0.6828, 82
2013-11-26, 0.5, 0.620701, 16
2013-11-27, 0.5, 0.906599, 80
2013-11-28, 0.5, 0.707199, 79
2013-11-29, 0.5, 0.523901, 13
2013-11-30, 0.5, 0.693199, 77
2013-12-01, 0.5, 0.8118, 76
2013-12-02, 0.5, 0.8118, 75
2013-12-03, 0.5, 0.516201, 9
2013-12-04, 0.5, 0, 7
2013-12-05, 0.5, 0, 6
2013-12-06, 0.5, 0.0810986, 6
2013-12-07, 0.5, 0, 4
2013-12-08, 0.5, 0, 3
2013-12-09, 0.5, 0, 2
2013-12-10, 0.5, 0, 2
2013-12-11, 0.5, 0.8645, 66
2013-12-12, 0.5, 1.1646, 65
2013-12-13, 0.5, 0.818501, 64
2013-12-14, 0.5, 0.222, 15
2013-12-15, 0.5, 0.405399, 31
2013-12-16, 0.5, 0.4055, 30
2013-12-17, 0.5, 0.411699, 29
2013-12-18, 0.5, 0.782099, 59
2013-12-19, 0.5, 0.780399, 58
2013-12-20, 0.5, 0.1471, 9
2013-12-21, 0.5, 0, 7
2013-12-22, 0.5, 0, 6
2013-12-23, 0.5, 0, 5
2013-12-24, 0.5, 0, 5
2013-12-25, 0.5, 0, 4
2013-12-26, 0.5, 0, 3
2013-12-27, 0.5, 0.175501, 9
2013-12-28, 0.5, 0.7449, 49
2013-12-29, 0.5, 0.9048, 48
2013-12-30, 0.5, 0.9058, 47
2013-12-31, 0.5, 0.346399, 15
2014-01-01, 0.5, 0.0475998, 3
2014-01-02, 0.5, 0, 2
2014-01-03, 0.5, 0.757299, 43
2014-01-04, 0.5, 0.9489, 42
2014-01-05, 0.5, 0.980801, 41
2014-01-06, 0.5, 0.981199, 40
2014-01-07, 0.5, 0.9664, 39
2014-01-08, 0.5, 0.8631, 38
2014-01-09, 0.5, 0.0552006, 3
2014-01-10, 0.5, 0, 2
2014-01-11, 0.5, 0, 4
2014-01-12, 0.5, 0.9781, 34
2014-01-13, 0.5, 0.979401, 33
2014-01-14, 0.5, 1.0178, 32
2014-01-15, 0.5, 1.16, 31
2014-01-16, 0.5, 0.960499, 30
2014-01-17, 0.5, 0.9457, 29
2014-01-18, 0.5, 0.986599, 28
2014-01-19, 0.5, 1.1216, 27
2014-01-20, 0.5, 1.1225, 26
2014-01-21, 0.5, 1.1577, 25
2014-01-22, 0.5, 0.905399, 24
2014-01-23, 0.5, 0.7033, 23
2014-01-24, 0.5, 0.7423, 22
2014-01-25, 0.5, 0.845299, 21
2014-01-26, 0.5, 0.7374, 20
2014-01-27, 0.5, 0.7381, 19
2014-01-28, 0.5, 0.699699, 18
2014-01-29, 0.5, 0.5173, 15
2014-01-30, 0.5, 0.4548, 13
2014-01-31, 0.5, 0.2528, 7
2014-02-01, 0.5, 0.0314999, 6
2014-02-02, 0.5, 0, 5
2014-02-03, 0.5, 0, 4
2014-02-04, 0.5, 0, 3
2014-02-05, 0.5, 0, 2
2014-02-06, 0.5, 0, 7
2014-02-07, 0.5, 0.0578003, 8
2014-02-08, 0.5, 0, 7
2014-02-09, 0.5, 0.000299454, 6
2014-02-10, 0.5, 0, 5
2014-02-11, 0.5, 0, 4
2014-02-12, 0.5, 0, 3
2014-02-13, 0.5, 0, 2
2014-02-14, 0.5, 0, 1
2014-02-15, 0.5, 0, 1
2014-02-16, 0.5, 6.1144, -1
2014-02-17, 0.5, 6.115, -1
2014-02-18, 0.5, 6.3767, -1
2014-02-19, 0.5, 6.3317, -1
2014-02-20, 0.5, 6.4289, -1
2014-02-21, 0.5, 6.2502, -1
2014-02-22, 0.5, 6.3789, -1
2014-02-23, 0.5, 6.4863, -1
2014-02-24, 0.5, 6.4873, -1
2014-02-25, 0.5, 6.5182, -1
2014-02-26, 0.5, 6.5332, -1
2014-02-27, 0.5, 6.3588, -1
2014-02-28, 0.5, 5.8886, 492
2014-03-01, 0.5, 5.8942, 491
2014-03-02, 0.5, 5.8602, 488
2014-03-03, 0.5, 5.8608, 487
2014-03-04, 0.5, 6.1076, -1
2014-03-05, 0.5, 5.9336, 490
2014-03-06, 0.5, 5.8664, 484
2014-03-07, 0.5, 5.904, 485
2014-03-08, 0.5, 5.923, 484
2014-03-09, 0.5, 0.0728989, 7
2014-03-10, 0.5, 0.0725002, 6
2014-03-11, 0.5, 0, 4
2014-03-12, 0.5, 0, 4
2014-03-13, 0.5, 5.7094, 477
2014-03-14, 0.5, 5.9391, 481
2014-03-15, 0.5, 5.9748, 480
2014-03-16, 0.5, 6.0843, -1
2014-03-17, 0.5, 6.0843, -1
2014-03-18, 0.5, 6.0072, 479
2014-03-19, 0.5, 5.6273, 471
2014-03-20, 0.5, 2.003, 113
2014-03-21, 0.5, 1.715, 98
2014-03-22, 0.5, 1.6005, 95
2014-03-23, 0.5, 1.5476, 91
2014-03-24, 0.5, 1.5476, 90
2014-03-25, 0.5, 1.3815, 88
2014-03-26, 0.5, 1.2544, 87
2014-03-27, 0.5, 1.1896, 86
2014-03-28, 0.5, 0.957201, 85
2014-03-29, 0.5, 1.0203, 84
2014-03-30, 0.5, 1.0576, 83
2014-03-31, 0.5, 1.0576, 82
2014-04-01, 0.5, 1.0666, 81
2014-04-02, 0.5, 0.996799, 80
2014-04-03, 0.5, 1.1214, 79
2014-04-04, 0.5, 1.1381, 78
2014-04-05, 0.5, 1.1595, 77
2014-04-06, 0.5, 1.1912, 76
2014-04-07, 0.5, 1.1912, 75
2014-04-08, 0.5, 1.1211, 74
2014-04-09, 0.5, 1.2522, 73
2014-04-10, 0.5, 1.1565, 72
2014-04-11, 0.5, 1.3106, 71
2014-04-12, 0.5, 1.2431, 70
2014-04-13, 0.5, 1.2284, 69
2014-04-14, 0.5, 1.2284, 68
2014-04-15, 0.5, 1.2278, 67
2014-04-16, 0.5, 0.973501, 66
2014-04-17, 0.5, 0.8002, 64
2014-04-18, 0.5, 0.841101, 63
2014-04-19, 0.5, 0.882801, 63
2014-04-20, 0.5, 0.882801, 62
2014-04-21, 0.5, 0.882801, 61
2014-04-22, 0.5, 0.6411, 59
2014-04-23, 0.5, 0.641701, 58
2014-04-24, 0.5, 0.682501, 57
2014-04-25, 0.5, 0.6884, 56
2014-04-26, 0.5, 0.874599, 56
2014-04-27, 0.5, 0.959, 55
2014-04-28, 0.5, 0.959, 54
2014-04-29, 0.5, 0.8729, 53
2014-04-30, 0.5, 0.726301, 51
2014-05-01, 0.5, 0.5585, 50
2014-05-02, 0.5, 0, 4
2014-05-03, 0.5, 0.4175, 43
2014-05-04, 0.5, 0.7167, 47
2014-05-05, 0.5, 0.7167, 46
2014-05-06, 0.5, 0.8104, 45
2014-05-07, 0.5, 0.8239, 44
2014-05-08, 0.5, 0.7845, 43
2014-05-09, 0.5, 0.491899, 42
2014-05-10, 0.5, 0.00789833, 5
2014-05-11, 0.5, 0, 4
2014-05-12, 0.5, 0, 3
2014-05-13, 0.5, 0.594, 38
2014-05-14, 0.5, 0.737101, 37
2014-05-15, 0.5, 0.91, 37
2014-05-16, 0.5, 0.895, 36
2014-05-17, 0.5, 0.6434, 34
2014-05-18, 0.5, 0.599201, 33
2014-05-19, 0.5, 0.599201, 32
2014-05-20, 0.5, 0.672201, 31
2014-05-21, 0.5, 0.596701, 30
2014-05-22, 0.5, 0.639301, 29
2014-05-23, 0.5, 0.7218, 28
2014-05-24, 0.5, 0.6789, 27
2014-05-25, 0.5, 0.6866, 26
2014-05-26, 0.5, 0.6866, 25
2014-05-27, 0.5, 0.671101, 24
2014-05-28, 0.5, 0.497, 23
2014-05-29, 0.5, 0.314899, 17
2014-05-30, 0.5, 0.2208, 15
2014-05-31, 0.5, 0.183901, 14
2014-06-01, 0.5, 0.0487995, 13
2014-06-02, 0.5, 0.0487995, 12
2014-06-03, 0.5, 0, 10
2014-06-04, 0.5, 0, 10
2014-06-05, 0.5, 0, 9
